Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Kiadási_ár;Négyzetméterár
Székesfehérvár;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1973;;1;NY;utcai;0;1;gaz_kazan;54.7;0;4.5;0;nm;2 + 0;100000;1828.15
Szolnok;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1965;3;1;NY;utcai;0;0;gaz_konvektor;51;0;1.5;0;nm;2 + 0;90000;1764.71
Debrecen;Széchenyi-kert;2018;hasznalt;0;sorhaz;tegla;0;5;2006;;;NY;;0;1;gaz_cirko;126;16.6;1.8;120;nm;4 + 0;300000;2380.95
Dunaújváros;Római városrész;2018;hasznalt;0;tarsashazi;panel;0;3;1970;4;2;K;utcai;0;0;hazkozponti;52;0;3;0;nm;2 + 0;60000;1153.85
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1970;4;földszint;D;utcai;0;1;gaz_konvektor;52;0;0;0;nm;2 + 0;63000;1211.54
Kecskemét;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2006;2;2;K;utcai;0;1;hazkozponti;38;0;0;0;nm;1 + 1;80000;2105.26
Pécs;Belváros;2018;hasznalt;0;tarsashazi;panel;0;4;1985;10;7;NY;utcai;1;0;tavegyedi;47;0;3;0;nm;2 + 0;70000;1489.36
Sopron;Ravazd utcai lakópark;2018;hasznalt;0;tarsashazi;tegla;0;4;2016;1;földszint;K;utcai;0;1;gaz_cirko;38;0;0;0;nm;1 + 0;90000;2368.42
Pécs;Mecsekoldal;2018;hasznalt;0;tarsashazi;panel;0;4;1980;10;földszint;K;utcai;1;0;tavegyedi;72;0;0;0;nm;3 + 0;70865;984.24
Szombathely;KISZ ltp.;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1974;4;3;D;udvari;0;0;tavegyedi;64;0;5;0;nm;1 + 2;80000;1250.00
Debrecen;Nagyerdő;2018;hasznalt;0;tarsashazi;tegla;0;5;1998;3;1;NY;utcai;0;1;gaz_cirko;86;0;3;0;nm;3 + 1;200000;2325.58
Kecskemét;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1950;2;1;K;utcai;0;1;gaz_konvektor;70;2;0;0;nm;2 + 0;125000;1785.71
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1969;4;1;;utcai;0;0;tav;42;0;0;0;nm;1 + 0;70000;1666.67
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2005;3;2;DNY;udvari;0;0;gaz_cirko;72;0;10;0;nm;3 + 1;120000;1666.67
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;tegla;0;4;1970;4;3;K;utcai;0;1;gaz_konvektor;43.74;0;1.5;0;nm;1 + 1;75000;1714.68
Zalaegerszeg;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1996;;2;NY;utcai;0;0;gaz_cirko;54;0;0;0;nm;1 + 1;100000;1851.85
Székesfehérvár;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2005;4;3;DNY;utcai;1;0;hazkozponti;62;0;8.1;0;nm;2 + 1;150000;2419.35
Szolnok;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1969;3;1;D;udvari;0;0;gaz_konvektor;59.6;0;0;0;nm;2 + 0;75000;1258.39
Szolnok;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1978;4;2;;utcai;0;0;gaz_konvektor;42;0;0;0;nm;1 + 1;70000;1666.67
Győr;Győr-Belváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1960;4;2;ÉK;udvari;0;1;gaz_konvektor;50;0;3;0;nm;2 + 0;90000;1800.00
Kecskemét;Alsószéktó;2018;hasznalt;0;tarsashazi;tegla;0;4;1975;3;2;DNY;udvari;0;1;gaz_konvektor;46;0;0;0;nm;1 + 2;60000;1304.35
