Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Békéscsaba;II. kerület;2018;hasznalt;0;tarsashazi;tegla;0;5;1995;4;4;K;utcai;0;0;gaz_cirko;64;0;0;0;nm;1 + 2;13200000;206250.00
Szolnok;Szolnok;2018;hasznalt;0;tarsashazi;panel;0;4;1960;20;3;ÉK;utcai;1;0;tavegyedi;38;0;4;0;nm;1 + 1;7700000;202631.58
Miskolc;Avas II.;2018;hasznalt;0;tarsashazi;panel;0;2;1976;4;4;DNY;utcai;0;0;tav;55;0;0;0;nm;1 + 2;6180000;112363.64
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;2;1972;10;4;NY;utcai;1;1;tavegyedi;46;0;7.70;0;nm;1 + 1;12300000;267391.30
Tatabánya;Kertváros;2018;hasznalt;0;csaladihaz;tegla;0;4;2001;;;DNY;;0;1;faszen_kalyha;258;0;0;1100;nm;5 + 3;21000000;81395.35
Debrecen;Felső-Józsa;2018;hasznalt;0;csaladihaz;tegla;0;5;1980;;;ÉNY;;0;0;gaz_cirko;80;0;0;761;nm;2 + 0;25900000;323750.00
Szolnok;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1960;2;2;DK;kertre_nezo;0;1;tavegyedi;64;0;2.45;0;nm;3 + 0;6350000;99218.75
Veszprém;Bakonyalja;2018;hasznalt;0;tarsashazi;panel;0;4;1974;10;4;NY;utcai;1;1;tavegyedi;53;0;0;0;nm;2 + 0;12300000;232075.47
Nyíregyháza;Jósaváros;2018;hasznalt;0;tarsashazi;panel;1;5;1978;4;3;K;utcai;0;0;tavegyedi;35;0;0;0;nm;1 + 1;9490000;271142.86
Debrecen;Kerekes-telep;2018;hasznalt;0;csaladihaz;tegla;0;4;1970;;;D;;0;0;gaz_cirko;80;12;0;730;nm;2 + 1;24300000;303750.00
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1965;4;1;NY;utcai;0;0;tav;42;0;2;0;nm;1 + 0;9650000;229761.90
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;panel;0;4;1985;5;3;DNY;utcai;0;1;tavegyedi;57;0;3;0;nm;2 + 0;15000000;263157.89
Miskolc;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1998;3;1;K;udvari;0;1;tav;68;0;4.80;0;nm;2 + 1;17000000;250000.00
Miskolc;Kilián-dél;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;5;1975;4;3;DNY;utcai;0;0;gaz_konvektor;42;0;0;0;nm;1 + 1;8320000;198095.24
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;panel;0;4;1980;5;5;DNY;udvari;0;0;tavegyedi;54;0;0;0;nm;2 + 0;13100000;242592.59
Debrecen;Csapókert;2018;hasznalt;0;csaladihaz;tegla;0;5;2010;;;;;0;0;gaz_cirko;110;8;0;1010;nm;3 + 1;26000000;236363.64
Érd;Érd;2018;hasznalt;0;csaladihaz;tegla;0;3;1979;;;DK;;0;0;gaz_cirko;100;21;0;781;nm;3 + 1;26500000;265000.00
Sopron;Sopron;2018;hasznalt;0;tarsashazi;panel;0;4;1970;4;1;ÉK;udvari;0;0;tavegyedi;53;0;0;0;nm;1 + 1;15900000;300000.00
Szolnok;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1950;4;3;D;utcai;0;0;gaz_konvektor;35;0;0;0;nm;1 + 0;6360000;181714.29
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;panel;0;2;1975;10;8;DNY;utcai;1;0;tav;36;0;0;0;nm;1 + 1;8300000;230555.56
Kaposvár;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;;;D;kertre_nezo;0;0;gaz_konvektor;25;0;0;70;nm;1 + 0;3800000;152000.00
Tatabánya;Kertvárosi ltp.;2018;hasznalt;0;tarsashazi;tegla;0;2;1980;4;4;DNY;utcai;0;1;tavegyedi;60;3;0;0;nm;1 + 2;6650000;110833.33
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2003;5;5;DK;udvari;1;0;hazkozponti;52;5.50;0;0;nm;2 + 0;17800000;342307.69
Dunaújváros;Béke városrész;2018;hasznalt;0;tarsashazi;panel;0;3;1970;4;3;D;utcai;0;0;tav;47;0;0;0;nm;1 + 1;7384150;157109.57
Szolnok;Tallinnvárosrész;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;1;magasföldszint;K;udvari;0;0;gaz_cirko;57;0;0;0;nm;2 + 1;14200000;249122.81
Debrecen;Tócóskert;2018;hasznalt;0;tarsashazi;panel;0;3;1986;10;8;D;utcai;1;0;tavegyedi;83;0;0;0;nm;2 + 2;15600000;187951.81
Nyíregyháza;Jósaváros;2018;hasznalt;0;ikerhaz;ytong;0;5;2005;;;DK;;0;1;gaz_cirko;160;8;4;200;nm;5 + 0;40000000;250000.00
Nyíregyháza;Borbánya;2018;hasznalt;0;ikerhaz;tegla;0;5;1978;;;NY;;0;0;gaz_cirko;60;17;0;487;nm;2 + 0;13500000;225000.00
Kecskemét;Vacsiköz;2018;hasznalt;0;tarsashazi;tegla;0;5;2006;2;1;DNY;utcai;0;1;hazkozponti;47;0;5;0;nm;1 + 1;18630000;396382.98
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2018;4;3;DNY;udvari;1;0;gaz_cirko;82;0;15;0;nm;2 + 2;26000000;317073.17
